,股號,股名,產業別
715,5007,三星,鋼鐵工業
716,5203,訊連,資訊服務業
717,5215,科嘉-KY,電腦及週邊設備業
718,5222,全訊,半導體業
719,5225,東科-KY,其他電子業
720,5234,達興材料,光電業
721,5243,乙盛-KY,光電業
722,5244,弘凱,光電業
723,5258,虹堡,電腦及週邊設備業
724,5269,祥碩,半導體業
725,5283,禾聯碩,電器電纜
726,5284,jpp-KY,其他業
727,5285,界霖,半導體業
728,5288,豐祥-KY,電機機械
729,5306,桂盟,運動休閒
730,5388,中磊,通信網路業
731,5434,崇越,電子通路業
732,5469,瀚宇博,電子零組件業
733,5471,松翰,半導體業
734,5484,慧友,光電業
735,5515,建國,建材營造業
736,5519,隆大,建材營造業
737,5521,工信,建材營造業
738,5522,遠雄,建材營造業
739,5525,順天,建材營造業
740,5531,鄉林,建材營造業
741,5533,皇鼎,建材營造業
742,5534,長虹,建材營造業
743,5538,東明-KY,鋼鐵工業
744,5546,永固-KY,建材營造業
745,5607,遠雄港,航運業
746,5608,四維航,航運業
747,5706,鳳凰,觀光餐旅
748,5871,中租-KY,其他業
749,5876,上海商銀,金融保險業
750,5880,合庫金,金融保險業
751,5906,台南-KY,貿易百貨業
752,5907,大洋-KY,貿易百貨業
753,6005,群益證,金融保險業
754,6024,群益期,金融保險業
755,6108,競國,電子零組件業
756,6112,邁達特,資訊服務業
757,6115,鎰勝,電子零組件業
758,6116,彩晶,光電業
759,6117,迎廣,電腦及週邊設備業
760,6120,達運,光電業
761,6128,上福,電腦及週邊設備業
762,6133,金橋,電子零組件業
763,6136,富爾特,通信網路業
764,6139,亞翔,其他電子業
765,6141,柏承,電子零組件業
766,6142,友勁,通信網路業
767,6152,百一,通信網路業
768,6153,嘉聯益,電子零組件業
769,6155,鈞寶,電子零組件業
770,6164,華興,光電業
771,6165,浪凡,數位雲端
772,6166,凌華,電腦及週邊設備業
773,6168,宏齊,光電業
774,6176,瑞儀,光電業
775,6177,達麗,建材營造業
776,6183,關貿,資訊服務業
777,6184,大豐電,其他業
778,6189,豐藝,電子通路業
779,6191,精成科,電子零組件業
780,6192,巨路,其他電子業
781,6196,帆宣,其他電子業
782,6197,佳必琪,電子零組件業
783,6201,亞弘電,其他電子業
784,6202,盛群,半導體業
785,6205,詮欣,電子零組件業
786,6206,飛捷,電腦及週邊設備業
787,6209,今國光,光電業
788,6213,聯茂,電子零組件業
789,6214,精誠,資訊服務業
790,6215,和椿,其他電子業
791,6216,居易,通信網路業
792,6224,聚鼎,電子零組件業
793,6225,天瀚,光電業
794,6226,光鼎,光電業
795,6230,尼得科超眾,電腦及週邊設備業
796,6235,華孚,電腦及週邊設備業
797,6239,力成,半導體業
798,6243,迅杰,半導體業
799,6257,矽格,半導體業
800,6269,台郡,電子零組件業
801,6271,同欣電,半導體業
802,6277,宏正,電腦及週邊設備業
803,6278,台表科,光電業
804,6281,全國電,電子通路業
805,6282,康舒,電子零組件業
806,6283,淳安,其他電子業
807,6285,啟碁,通信網路業
808,6288,聯嘉,汽車工業
809,6405,悅城,光電業
810,6409,旭隼,其他電子業
811,6412,群電,電子零組件業
812,6414,樺漢,電腦及週邊設備業
813,6415,矽力*-KY,半導體業
814,6416,瑞祺電通,通信網路業
815,6426,統新,通信網路業
816,6431,光麗-KY,生技醫療業
817,6438,迅得,其他電子業
818,6442,光聖,通信網路業
819,6443,元晶,光電業
820,6449,鈺邦,電子零組件業
821,6451,訊芯-KY,半導體業
822,6456,GIS-KY,光電業
823,6464,台數科,其他業
824,6477,安集,光電業
825,6491,晶碩,生技醫療業
826,6504,南六,其他業
827,6505,台塑化,油電燃氣業
828,6515,穎崴,半導體業
829,6525,捷敏-KY,半導體業
830,6531,愛普*,半導體業
831,6533,晶心科,半導體業
832,6541,泰福-KY,生技醫療業
833,6550,北極星藥業-KY,生技醫療業
834,6552,易華電,半導體業
835,6558,興能高,其他電子業
836,6573,虹揚-KY,半導體業
837,6579,研揚,電腦及週邊設備業
838,6581,鋼聯,綠能環保
839,6582,申豐,橡膠工業
840,6585,鼎基,其他業
841,6591,動力-KY,電腦及週邊設備業
842,6592,和潤企業,其他業
843,6598,ABC-KY,生技醫療業
844,6605,帝寶,汽車工業
845,6606,建德工業,電機機械
846,6625,必應,其他業
847,6641,基士德-KY,綠能環保
848,6655,科定,其他業
849,6657,華安,生技醫療業
850,6666,羅麗芬-KY,生技醫療業
851,6668,中揚光,光電業
852,6669,緯穎,電腦及週邊設備業
853,6670,復盛應用,運動休閒
854,6671,三能-KY,居家生活
855,6672,騰輝電子-KY,電子零組件業
856,6674,鋐寶科技,通信網路業
857,6689,伊雲谷,數位雲端
858,6691,洋基工程,其他電子業
859,6695,芯鼎,半導體業
860,6698,旭暉應材,其他電子業
861,6706,惠特,光電業
862,6715,嘉基,電子零組件業
863,6719,力智,半導體業
864,6743,安普新,其他電子業
865,6753,龍德造船,航運業
866,6754,匯僑設計,居家生活
867,6756,威鋒電子,半導體業
868,6768,志強-KY,運動休閒
869,6770,力積電,半導體業
870,6776,展碁國際,電子通路業
871,6781,AES-KY,電子零組件業
872,6782,視陽,生技醫療業
